,0,1,2,3,4,5
94,1590589906.0,1,6,0,1.0,0
95,1590593280.0,1,5,0,1.0,0
96,1590570315.0,6,17,0,0.84,1
97,1590578719.0,1,11,0,0.87,0
98,1590576563.0,0,12,0,0.93,0
99,1590509246.0,77,335,0,0.97,1
100,1590577434.0,1,10,0,0.86,0
101,1590581674.0,1,8,0,0.9,0
102,1590586962.0,1,7,0,0.89,0
103,1590558277.0,6,26,0,0.72,0
104,1590562098.0,2,23,0,0.92,0
105,1590599958.0,1,4,0,1.0,1
106,1590593687.0,10,4,0,0.75,0
107,1590599123.0,1,3,0,1.0,0
108,1590588271.0,0,4,0,0.84,0
109,1590574653.0,0,11,0,1.0,0
110,1590487612.0,40,866,2,0.98,0
111,1590592134.0,1,5,0,0.85,0
112,1590586376.0,1,5,0,1.0,0
113,1590532243.0,2,70,0,0.95,0
114,1590583086.0,6,4,0,0.75,0
115,1590564221.0,3,13,0,0.88,0
116,1590501779.0,120,321,0,0.97,1
117,1590600455.0,7,2,0,1.0,0
118,1590548827.0,8,25,0,0.86,1
119,1590598598.0,4,2,0,0.75,0
120,1590513079.0,23,162,0,0.95,1
121,1590580157.0,6,5,0,1.0,0
122,1590558920.0,1,13,0,0.82,0
123,1590596826.0,2,2,0,0.67,0
124,1590505699.0,15,207,0,0.97,0
125,1590460511.0,314,2174,0,0.96,1
126,1590512369.0,13,143,0,0.95,1
127,1590503872.0,77,215,1,0.88,1
128,1590567384.0,13,9,0,0.91,0
129,1590486943.0,124,476,0,0.97,0
130,1590563380.0,4,9,0,0.91,0
131,1590489033.0,104,408,0,0.85,1
132,1590558741.0,0,12,0,0.87,0
133,1590506638.0,30,160,0,0.99,0
134,1590583641.0,9,3,0,0.67,0
135,1590506097.0,5,143,0,0.95,1
136,1590538542.0,1,27,0,0.97,0
137,1590562198.0,1,8,0,0.79,0
138,1590561596.0,4,7,0,0.77,0
139,1590567201.0,0,6,0,0.88,0
140,1590553249.0,2,13,0,0.88,0
141,1590588121.0,10,2,0,1.0,0
142,1590574404.0,0,4,0,0.84,0
143,1590601441.0,0,1,0,1.0,0
144,1590600485.0,0,1,0,1.0,0
145,1590578589.0,0,5,0,0.72,0
146,1590599794.0,2,1,0,1.0,0
147,1590599698.0,14,0,0,0.5,1
148,1590599545.0,0,1,0,1.0,0
149,1590572340.0,5,5,0,0.73,0
150,1590513911.0,14,77,0,0.97,1
151,1590598793.0,0,1,0,1.0,0
152,1590598214.0,0,1,0,0.67,0
153,1590557223.0,0,7,0,0.69,0
154,1590518334.0,7,59,0,0.97,0
155,1590565714.0,0,6,0,0.8,0
156,1590516132.0,14,63,0,0.94,0
157,1590574380.0,0,3,0,0.8,0
158,1590505992.0,12,105,0,0.97,1
159,1590594597.0,0,1,0,0.67,0
160,1590553677.0,2,8,0,0.84,0
161,1590523917.0,15,39,0,0.87,1
162,1590593946.0,1,0,0,0.33,0
163,1590593821.0,0,0,0,0.5,0
164,1590572342.0,3,3,0,0.8,0
165,1590505239.0,1,91,0,0.95,0
166,1590485055.0,49,256,0,0.95,0
167,1590492744.0,81,162,0,0.93,1
168,1590465251.0,37,648,0,0.99,0
169,1590569889.0,10,3,0,1.0,0
170,1590591317.0,0,0,0,0.5,0
171,1590473283.0,65,420,0,0.97,1
172,1590548753.0,6,9,0,0.85,0
173,1590477184.0,20,304,0,0.89,0
174,1590507627.0,9,62,0,0.89,1
175,1590515838.0,0,43,0,0.93,0
176,1590507899.0,2,57,0,0.94,0
177,1590496514.0,56,107,0,0.76,1
178,1590468077.0,342,444,0,0.88,1
179,1590497580.0,21,96,0,0.91,0
180,1590525046.0,3,23,0,0.92,1
181,1590505838.0,6,63,0,0.95,1
182,1590484067.0,43,179,0,0.97,1
183,1590470987.0,73,357,0,0.91,1
184,1590563445.0,5,4,0,0.75,0
185,1590487196.0,17,145,0,0.94,1
186,1590512949.0,1,38,0,0.97,1
187,1590518365.0,0,29,0,0.93,0
188,1590504119.0,0,60,0,0.91,0
189,1590493177.0,33,103,0,0.92,0
190,1590523162.0,15,23,0,0.81,0
191,1590511456.0,12,35,0,0.84,1
192,1590502113.0,13,56,0,0.91,1
193,1590508544.0,2,42,0,0.87,0
